,averagerating,numvotes,original_title,start_year,runtime_minutes,genres,is_comedy,is_action,is_horror,is_romance,studio,domestic_gross,foreign_gross,year,id,release_date,production_budget,domestic_gross_tn,worldwide_gross
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
3 Days to Kill,6.2,81681,3 Days to Kill,2014,117.0,"['Action', 'Drama', 'Thriller']",False,True,False,False,Rela.,30700000.0,21900000,2014.0,64.0,"Feb 21, 2014","$28,000,000","$30,697,999","$38,959,900"
30 Minutes or Less,6.1,87254,30 Minutes or Less,2011,83.0,"['Action', 'Comedy', 'Crime']",True,True,False,False,Sony,37100000.0,3500000,2011.0,60.0,"Aug 12, 2011","$28,000,000","$37,053,924","$40,966,716"
47 Ronin,6.3,135754,47 Ronin,2013,128.0,"['Action', 'Adventure', 'Drama']",False,True,False,False,Uni.,38400000.0,113400000,2013.0,12.0,"Dec 25, 2013","$175,000,000","$38,362,475","$151,716,815"
5 Days of War,5.6,13089,5 Days of War,2011,113.0,"['Action', 'Drama', 'War']",False,True,False,False,Anch.,17500.0,,2011.0,47.0,"Aug 19, 2011","$12,000,000","$17,479","$87,793"
50/50,7.5,11,50/50,2010,77.0,['Documentary'],False,False,False,False,Sum.,35000000.0,4200000,2011.0,73.0,"Sep 30, 2011","$8,000,000","$35,016,118","$41,334,735"
50/50,7.7,300475,50/50,2011,100.0,"['Comedy', 'Drama', 'Romance']",True,False,False,True,Sum.,35000000.0,4200000,2011.0,73.0,"Sep 30, 2011","$8,000,000","$35,016,118","$41,334,735"
A Bad Moms Christmas,5.5,33056,A Bad Moms Christmas,2017,104.0,"['Adventure', 'Comedy']",True,False,False,False,STX,72100000.0,58400000,2017.0,40.0,"Nov 1, 2017","$28,000,000","$72,110,659","$127,710,550"
A Better Life,7.2,14602,A Better Life,2011,98.0,"['Drama', 'Romance']",False,False,False,True,Sum.,1800000.0,,2011.0,84.0,"Jun 24, 2011","$10,000,000","$1,759,252","$1,884,251"
A Better Life,6.6,1519,Une vie meilleure,2011,110.0,['Drama'],False,False,False,False,Sum.,1800000.0,,2011.0,84.0,"Jun 24, 2011","$10,000,000","$1,759,252","$1,884,251"
A Dangerous Method,6.4,93259,A Dangerous Method,2011,99.0,"['Biography', 'Drama', 'Romance']",False,False,False,True,SPC,5700000.0,21800000,2011.0,69.0,"Nov 23, 2011","$20,000,000","$5,702,083","$14,807,531"
A Ghost Story,6.8,46280,A Ghost Story,2017,92.0,"['Drama', 'Fantasy', 'Romance']",False,False,False,True,A24,1600000.0,,2017.0,86.0,"Jul 7, 2017","$100,000","$1,594,798","$2,769,782"
A Good Day to Die Hard,5.3,188383,A Good Day to Die Hard,2013,98.0,"['Action', 'Thriller']",False,True,False,False,Fox,67300000.0,237300000,2013.0,34.0,"Feb 14, 2013","$92,000,000","$67,349,198","$304,249,198"
A Haunted House,5.1,40308,A Haunted House,2013,86.0,"['Comedy', 'Fantasy']",True,False,False,False,ORF,40000000.0,20100000,2013.0,12.0,"Jan 11, 2013","$2,500,000","$40,041,683","$59,922,558"
